in situ no,group - sample no,no of segments,development category,Tail broken,anterior cluster,AntPost-VasaCl,Post-VasaCl,Age-days,date fertilized,date fixed,culture type,Culture box
ISH5,R3.0.0 - 1,23,a,n,y,2,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 2,20,a,n,y,1,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 3,24,a,n,y,4,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 5,23,a,n,y,2,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 6,30,a,n,y,3,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 8,20,a,n,y,2,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 10,28,a,n,y,3,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 7,16,b,n,y,3,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.0 - 11,32,b,n,y,4,0,74,18-Feb-19,3-May-19,HD,R3.0.0
ISH5,R3.0.3 - 5,38,a,n,y,5,3,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 10,25,a,n,y,2,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 2,24,b,n,y,3,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 4,31,b,n,y,4,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 6,31,b,n,y,3,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 7,29,b,n,y,2,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 8,23,b,n,y,1,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 9,31,b,n,y,5,0,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.3 - 1,41,c,n,y,31,29,77,18-Feb-19,6-May-19,HD,R3.0.3
ISH5,R3.0.5 - 2,26,a,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 6,24,a,n,y,2,1,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 7,21,a,n,y,1,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 9,26,a,n,y,1,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 10,28,a,n,y,2,1,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 11,29,a,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 3,26,b,n,y,5,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 4,28,b,n,y,3,1,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 5,24,b,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 8,24,b,n,y,3,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.5 - 12,30,b,n,y,1,0,79,18-Feb-19,8-May-19,HD,R3.0.5
ISH5,R3.0.7 - 2,17,a,n,y,2,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 3,17,a,n,y,2,1,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 7,19,a,n,y,2,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 10,19,a,n,y,5,3,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 11,17,a,n,y,6,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 1,20,b,n,y,4,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.7 - 8,34,b,n,y,3,0,81,18-Feb-19,10-May-19,HD,R3.0.7
ISH5,R3.0.14 - 5,23,a,n,y,3,0,88,18-Feb-19,22-May-19,LD,R3.0.14
