in situ #,group,group - sample #,time point,Culture type,food regimen,SegmentNo,AntPostClNo,PostClNo,Age,date fertilized,date fixed,Condition
ISH13,"t0, HD","t0,HD - 01",t0,HD,x,19,5,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 02",t0,HD,x,18,3,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 03",t0,HD,x,17,0,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 04",t0,HD,x,14,1,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 05",t0,HD,x,23,1,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 05",t0,HD,x,16,0,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 06",t0,HD,x,21,1,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 06",t0,HD,x,13,3,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 07",t0,HD,x,20,2,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 08",t0,HD,x,16,3,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 09",t0,HD,x,21,4,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 09",t0,HD,x,23,2,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 10",t0,HD,x,20,2,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 10",t0,HD,x,20,3,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 11",t0,HD,x,24,1,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 12",t0,HD,x,24,3,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 12",t0,HD,x,21,5,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 13",t0,HD,x,18,2,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 14",t0,HD,x,21,3,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 14",t0,HD,x,20,2,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 15",t0,HD,x,22,3,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 15",t0,HD,x,13,2,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 16",t0,HD,x,23,5,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 16",t0,HD,x,18,0,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 17",t0,HD,x,21,2,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 18",t0,HD,x,16,0,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 20",t0,HD,x,14,1,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 21",t0,HD,x,21,4,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 21",t0,HD,x,20,2,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 22",t0,HD,x,19,2,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 22",t0,HD,x,29,8,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 23",t0,HD,x,21,1,0,41,10-Mar-20,20-Apr-20,start
ISH14,"t0, HD","t0,HD - 23",t0,HD,x,24,4,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 25",t0,HD,x,20,4,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 26",t0,HD,x,23,4,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 27",t0,HD,x,24,0,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 29",t0,HD,x,25,4,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 32",t0,HD,x,22,1,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t0, HD","t0,HD - 33",t0,HD,x,18,1,0,41,10-Mar-20,20-Apr-20,start
ISH13,"t1, HD, half food","t1,HD,hf - 01",t1,HD,half,31,7,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 01",t1,HD,half,34,7,7,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 02",t1,HD,half,32,4,2,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 02",t1,HD,half,38,22,20,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 03",t1,HD,half,27,8,2,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 03",t1,HD,half,29,4,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 03",t1,HD,half,34,3,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 04",t1,HD,half,28,3,2,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 04",t1,HD,half,34,8,7,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 05",t1,HD,half,24,5,3,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 05",t1,HD,half,29,3,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 06",t1,HD,half,19,6,3,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 07",t1,HD,half,30,4,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 08",t1,HD,half,24,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 08",t1,HD,half,32,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 09",t1,HD,half,16,2,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 09",t1,HD,half,33,2,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 10",t1,HD,half,41,12,12,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 10",t1,HD,half,32,0,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 11",t1,HD,half,36,14,11,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 12",t1,HD,half,19,6,2,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 12",t1,HD,half,37,11,10,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 12",t1,HD,half,30,3,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 13",t1,HD,half,37,3,3,55,10-Mar-20,4-May-20,"HD, half food"
ISH14,"t1, HD, half food","t1,HD,hf - 13",t1,HD,half,38,9,6,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 13",t1,HD,half,22,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 14",t1,HD,half,36,6,5,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 14",t1,HD,half,21,3,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 15",t1,HD,half,35,5,2,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 15",t1,HD,half,28,5,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 16",t1,HD,half,35,7,6,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 16",t1,HD,half,20,1,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 17",t1,HD,half,20,5,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 18",t1,HD,half,27,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 19",t1,HD,half,29,5,5,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 19",t1,HD,half,24,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 20",t1,HD,half,31,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 20",t1,HD,half,22,0,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 21",t1,HD,half,32,5,3,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 21",t1,HD,half,19,4,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 22",t1,HD,half,31,2,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH15,"t1, HD, half food","t1,HD,hf - 22",t1,HD,half,22,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 23",t1,HD,half,32,6,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 24",t1,HD,half,31,4,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 26",t1,HD,half,29,4,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 31",t1,HD,half,32,7,6,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 32",t1,HD,half,33,8,5,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 34",t1,HD,half,24,1,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 35",t1,HD,half,29,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 36",t1,HD,half,26,3,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 37",t1,HD,half,27,1,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 38",t1,HD,half,34,5,4,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 39",t1,HD,half,33,3,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 40",t1,HD,half,27,6,2,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 44",t1,HD,half,21,4,0,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, half food","t1,HD,hf - 45",t1,HD,half,26,4,1,55,10-Mar-20,4-May-20,"HD, half food"
ISH13,"t1, HD, normal food","t1,HD,nf - 01",t1,HD,normal,35,6,5,55,10-Mar-20,4-May-20,"HD, normal food"
ISH14,"t1, HD, normal food","t1,HD,nf - 01",t1,HD,normal,34,4,1,55,10-Mar-20,4-May-20,"HD, normal food"
ISH15,"t1, HD, normal food","t1,HD,nf - 01",t1,HD,normal,30,2,0,55,10-Mar-20,4-May-20,"HD, normal food"
ISH13,"t1, HD, normal food","t1,HD,nf - 02",t1,HD,normal,35,14,9,55,10-Mar-20,4-May-20,"HD, normal food"
ISH14,"t1, HD, normal food","t1,HD,nf - 02",t1,HD,normal,35,12,10,55,10-Mar-20,4-May-20,"HD, normal food"
ISH15,"t1, HD, normal food","t1,HD,nf - 02",t1,HD,normal,33,6,3,55,10-Mar-20,4-May-20,"HD, normal food"
ISH13,"t1, HD, normal food","t1,HD,nf - 03",t1,HD,normal,33,4,3,55,10-Mar-20,4-May-20,"HD, normal food"
ISH14,"t1, HD, normal food","t1,HD,nf - 03",t1,HD,normal,34,4,2,55,10-Mar-20,4-May-20,"HD, normal food"
ISH15,"t1, HD, normal food","t1,HD,nf - 03",t1,HD,normal,31,3,0,55,10-Mar-20,4-May-20,"HD, normal food"
ISH13,"t1, HD, normal food","t1,HD,nf - 04",t1,HD,normal,31,6,0,55,10-Mar-20,4-May-20,"HD, normal food"
ISH14,"t1, HD, normal food","t1,HD,nf - 04",t1,HD,normal,35,4,2,55,10-Mar-20,4-May-20,"HD, normal food"
ISH15,"t1, HD, normal food","t1,HD,nf - 04",t1,HD,normal,26,7,2,55,10-Mar-20,4-May-20,"HD, normal food"
ISH13,"t1, HD, normal food","t1,HD,nf - 05",t1,HD,normal,31,3,0,55,10-Mar-20,4-May-20,"HD, normal food"
